"","Feature","Gain","Cover","Frequency","Importance","norm_importance"
"1","VAR-1.G.1",0.0560770113467722,0.035650878144816,0.0239410681399632,0.0560770113467722,2.3422936277921
"2","VAR-2.A.1",0.0362403418398865,0.0169210059528054,0.0202578268876611,0.0362403418398865,1.78895505627803
"3","CON-1.B.1",0.0345098117029919,0.0161185165852811,0.0478821362799263,0.0345098117029919,0.720724144412484
"4","VAR-1.E.1",0.0326440183307943,0.00470016649919172,0.0128913443830571,0.0326440183307943,2.53224313623162
"5","CON-2.C.1",0.0320607348043661,0.0100745918134132,0.0165745856353591,0.0320607348043661,1.93433099986342
"6","CON-1.A.2",0.0320014669873454,0.00764214783754619,0.0110497237569061,0.0320014669873454,2.89613276235476
"7","VAR-1.C.1",0.0310992916926381,0.00285405992478294,0.0220994475138122,0.0310992916926381,1.40724294909187
"8","MOD-1.F.2",0.0287659360626345,0.0138786208744768,0.00736648250460405,0.0287659360626345,3.90497582050263
"9","CON-2.H.1",0.0253829782052097,0.0143712844917108,0.0110497237569061,0.0253829782052097,2.29715952757148
"10","MOD-1.A.2",0.0246789261805837,0.00135854769523274,0.0220994475138122,0.0246789261805837,1.11672140967141
"11","MOD-1.A.1",0.0243020026001327,0.00115477718804909,0.0276243093922652,0.0243020026001327,0.879732494124803
"12","CON-2.E.1",0.0239417889996928,0.0168714076516181,0.0202578268876611,0.0239417889996928,1.18185376607574
"13","MOD-1.G.1",0.0229367937089691,0.0134918076095466,0.0110497237569061,0.0229367937089691,2.0757798306617
"14","CON-1.A.3",0.0214729586793816,0.0043592716826036,0.0239410681399632,0.0214729586793816,0.896908966377247
"15","CON-1.D.3.C",0.0207341651009541,0.023824422981031,0.0128913443830571,0.0207341651009541,1.60837880711687
"16","CON-2.I.2.I",0.0199581214578663,0.0239483158795174,0.0147329650092081,0.0199581214578663,1.35465749395268
"17","VAR-1.B.1",0.0193846756237978,0.0100968813146518,0.00920810313075507,0.0193846756237978,2.10517577274444
"18","MOD-1.H.1",0.0191129156656648,0.016259348681873,0.0128913443830571,0.0191129156656648,1.48261617235085
"19","MOD-1.F.1",0.0172358031574142,0.0168434817247789,0.0110497237569061,0.0172358031574142,1.55984018574598
"20","VAR-2.D.1",0.0160620604796673,0.00707749683604716,0.00552486187845304,0.0160620604796673,2.90723294681979
"21","VAR-1.C.3",0.0159427356653407,0.0196213175956889,0.0165745856353591,0.0159427356653407,0.961878385142225
"22","CON-1.E.3",0.015413700416894,0.00719020056947894,0.00736648250460405,0.015413700416894,2.09240983159335
"23","CON-1.B.5",0.0151350253766442,0.0196210726150142,0.0110497237569061,0.0151350253766442,1.3697197965863
"24","VAR-2.G.1",0.014958359754893,0.020227942108634,0.0110497237569061,0.014958359754893,1.35373155781781
"25","VAR-1.E.12.C",0.0128641748390898,0.0117554509748616,0.00736648250460405,0.0128641748390898,1.74631173440644
"26","VAR-2.D.7.D",0.0125045477745557,0.0169238428664205,0.00920810313075507,0.0125045477745557,1.35799388831675
"27","CON-2.E.2",0.0114910741450737,0.00441891699657756,0.0110497237569061,0.0114910741450737,1.03994221012917
"28","MOD-3.B.2",0.0112543049555691,0.0168591305666587,0.0147329650092081,0.0112543049555691,0.763885948859251
"29","VAR-2.B.2",0.010362416065776,0.00639188709391419,0.00736648250460405,0.010362416065776,1.40669798092909
"30","MOD-1.E.1",0.00994890699353637,0.00713580317167672,0.00920810313075507,0.00994890699353637,1.08045129949805
"31","VAR-2.D.3",0.00980409933382664,0.00060097061377064,0.0147329650092081,0.00980409933382664,0.665453242283483
"32","MOD-2.G.1",0.00960698928564263,0.0162944706822726,0.00920810313075507,0.00960698928564263,1.04331903642079
"33","MOD-1.B.2",0.00933414436194997,0.0132830176867729,0.0128913443830571,0.00933414436194997,0.724062912648404
"34","CON-2.A.3",0.00928104712921709,0.00977765279464695,0.00552486187845304,0.00928104712921709,1.67986953038829
"35","CON-1.A.4",0.00910778618477305,0.00627774386525811,0.00552486187845304,0.00910778618477305,1.64850929944392
"36","VAR-1.E.9",0.00908337445968139,0.012516692890077,0.00736648250460405,0.00908337445968139,1.23306808290175
"37","VAR-1.A.1",0.00892047040515313,0.0032895754881081,0.00184162062615101,0.00892047040515313,4.84381542999815
